Series Number,Filename,Name,Description,Gender,Attributes,UUID

TEAM BEVEL
1,adewale-the-amebo,adewale the amebo,adewale the amebo,male,"hair: bald, eyes: black, teeth: none, clothing: red, accessories: mask, expression: none, strength: powerful, weakness: curiosity",cad316c3-37f8-4b27-9f53-9d803bfcfee7,89aee59dd505d423d673f4692d5f4ffd0299e431c1c69e2f5f84f2d498b767f3
2,alli-the-queeny,alli the queeny,Alli is an LGBT Stan.,male,"hair: bald, eyes: white, teeth: none, clothing: yellow, accessories: mask, expression: none: strength: powerful, weakness: none",a57ecda4-a26f-4e97-a757-e1800af39aab,e9d5e83dad280f8d5f03ac71f4aacb76b9227357a2cc22634b51de4d6c5dbafa
3,aminat-the-snnobish,aminat the snnobish,Aminat never really wants to talk to anyone.,female,"hair: brown bun, eyes: none, teeth: none, clothing: yellow, accessories: glasses, expression: blank, strength: none, weakness: attitude",0e37ed0d-3e84-4f32-a91f-ec9c4ba8c7de,03a5890846a57a21ce4d710511de06644cc0c5e933a0f7a5b506c55a8c3aa0dd
4,aminu-the-carpenter,aminu the carpenter,"Aminu's hands are blessed, he makes the best furniture in the whole of Kano.",male,"hair: bald, eyes: blue, teeth: none, clothing: yellow, accessories: mask, expression: none, strength: powerful, weakness: none",4f30b751-96e7-40fe-97fd-e3d44973ff2f,305d7f0caf52da4b63c4ee960a57a6ade7b0e023865cdd9456ecbfa492ee2597
5,chibuike-the-kudibag,chibuike the kudibag,Chibuike is too rich. Everyone wonders how he got it.,male,"hair: bald, eyes: black, teeth: none, clothing: blue, accessories: mask, expression: none, strength: hustler, weakness: none",5ce854f2-7ac1-46fd-b3fe-57583935d1e5,7fecb4bd01bbb265906ccb1e0db3b5890881987840fd8a1ab85c535032bc35dc
6,chidinma-the-model,chidinma the model,"From Paris' runways, to London's streets, she's always in demand.",female,"hair: brown hair, eyes: none, teeth: none, clothing: multicolored, accessories: glasses, expression: none, strength: hardworking, weakness: none",c98db72e-49ac-4ca6-89d5-e00f5fbbcc45,59735b3c762ae64b3fd2ac219ee2a97c192f4a99d847f304c6f28c00f31e8ec9
7,chioma-pretty- girl,chioma pretty girl,Chioma's face card is a 100.,female,"hair: dreads, eyes: none, teeth: none, clothing: multicolored, accessories: glasses, expression: none, strength: none, weakness: none",182ea888-a85b-42ca-ad73-ed4f8f9aa5c7,867827767488c59c6f9d1fbf5d2476416df8c2423ddd516e5fcedf2bad9ade32
8,damilare-the-handsome,damilare the handsome,He's a fine boy. Everyone loves his face(and him).,male,"hair: bald, eyes: white, teeth: none, clothing: yellow, accessories: mask, expression: none, strength: none, weakness: none",27eca2dc-d7df-474a-8f8f-1858152c711e,627f8eaf79a833be7b89226d0a2f21fe3ce242b25b32e56340e0fbf10db328dc
9,ebiowie-the-planter,ebiowie the planter,Ebiowei has a reputation for nurturing plants.,male,"hair: bald, eyes: none, teeth: none, clothing: multicolored, accessories: none, expression: none, strength: powerful, weakness: none",f1df8270-4d60-4bd4-8959-ba7c384db5c4,fd1b36f61ee7f77bda36af69679067cbede0ce346deb04a361935f13caed2ba5
10,emeka-the-businessman,emeka the businessman,Emeka only cares about containers. No time to waste.,male,"hair: bald, eyes: white, teeth: none, clothing: orange, accessories: mask, expression: none, strength: hard worker, weakness: none",9b3d75da-4887-4089-aee4-50de3954fdc9,582add8b0cc88b857d7df00f21b967e7c8808fd22815c3a26705b5c4deaf30fb
11,gbeminyi-the-monk,gbeminyi the monk,He lives in a monastery off the coast. No one has heard him speak in years.,male,"hair: bald, eyes: blue, teeth: none, clothing: yellow, accessories: mask, expression: none, strength: none, weakness: none",c8b1fd1d-8551-4bb4-8dc4-923a9aeb39fb,12d0201eb4f030dff88f46984ed3e2429ebf1377149e9bfd68fd2b682c99dbe6
12,henry-the-sportsman,henry the sportsman,He's played every sport known to man. Even cricket.,male,"hair: bald, eyes: yellow, teeth: none, clothing: multicolored, accessories: mask, expression: none, strength: agility, weakness: none",e1225451-bfdf-4a1f-8d37-9cce3a0bd67b,7a4a5f8ce8d008ca89110446a61f1dad38e4c630e4db88cb67aac8020b1a1dba
13,mayowa-the-smallie,mayowa the smallie,Mayowa is so small but everyone loves him even still.,male,"hair: bald, eyes: blue, teeth: none, clothing: multicolored, accessories: mask, expression: none, strength: none, weakness: none",dfbb4163-df24-4d54-b74c-6218a68df8bd,1567c9c232f5cf21058ccf723a033a7655d31dc62f14aef724ae1d7c278721a0
14,muyiwa-the-stylish,muyiwa the stylish,Muyiwa has a motto which is never to be caught unfresh.,male,"hair: bald, eyes: ash, teeth: none, clothing: multicolored, accessories: mask, expression: none, strength: creativity, weakness: none ",dcf9d5a0-57b7-4126-a05e-6c8f1045d3f7,d957f75fda840e2b9c7e3599ebfc5288b1b2993a0d6f89632ff0e8818e98a683
15,nina-paper-chaser,nina paper chaser,Nina na Igbo girl wey like money. Finish.,female,"hair: brown double bun, eyes: none, teeth: none, clothing: animal print, accessories: glasses, expression: none, strength: hustler, weakness: none",59524227-dc52-407c-8cca-e9e8c5fb3018,52b418f449f1888f951eadd2fa44664888f607611d7c9c92da246bf6d900d7fc
16,oluwaseun-spicy,oluwaseun spicy,He loves spicy foods. He cooks pepper and sprinkles rice on top.,male,"hair: bald, eyes: black, teeth: none, clothing: yellow and purple agbada, accessories: mask, expression: none strength: none, weakness: none",808f7007-6552-4efa-bd13-4b7c337b102b,d091411690b15c476fe722f8ebd7251f204f0afaac922d28199109160ab4c074
17,sesan-the-smartie,sesan the smartie,Sesan always comes first in competitions.,male,"hair: bald, eyes: blue, teeth: none, clothing: orange, accessories: mask, expression: none, strength: intelligence, weakness: none",ba3edda7-8940-4ca4-97ba-826398d5909f,3fe079290c0da4c1f144aed9e47fb28b385b0c93853a96583a26b399e7d7bc1f
18,tiwa-london,tiwa london,"If she says she's in London and you see her, you're in London too.",female,"hair: braids, eyes: none, teeth: none, clothing: black top, accessories: glasses, expression: none, strength: none, weakness: untruthfulness",78da7aeb-8352-4e25-89ac-dc48b5984089,b81df32720eb96ce92058ea45b8173491444c34bdc68ec18d4766514239f273c
19,tunde-yoruba-demon,tunde yoruba demon,"Tunde derives joy in breaking girls heart. It's a lifestyle.""",male,"hair: bald, eyes: white, teeth: none, clothing: purple and yellow agbada, accessories: mask, expression: none, strength: none, weakness: promiscuity",53b46bd7-a537-402b-b249-0b4074a8faae,ea5585fe532b843cb6700cb493124fe807a778750f991ae13d91bed7f36ca105
20,yakubu-the-zombie,yakubu the zombie,Yakubu earned his zombie title because na only dust full him head.,male,"hair: bald, eyes: black, teeth: none, clothing: green and purple agbada, accessories: mask, expression: none, strength:none, weakness:slow to understand things",4adb6781-1614-424e-8f77-fe59ffca2209,399b8d58efd00b46084a61add789e8ffa69fafc9b397a7804f8fa46869bf7ff4

TEAM CLUTCH
21,abdul-the-vibe,abdul the vibe,abdul the life of the party and can never be caught unfresh,male,"hair: none, eyes: black, teeth: none, clothings: purple and yellow kaftan, accessories: cap, expression: happy, strength: strong, weakness: no limitation",770f817a-9d9a-4772-9a91-e66dd9d03470,c8341a124bc1607ee0811389b3adb4882ece6f23e011dd06eeb1618c32dc6e2d
22,emeka-the -clown,emeka the clown,"emeka the funny man, always making silly jokes",male,"hair: none, eyes: black, teeth: none, clothings: yellow and black ankara, accessories: cap, expression: straight face, strength: funny, weakness: little physique",78810fa6-a7ef-4d83-bf57-caf49db4ee69,9a91fd7fa54b55573a3cc7a25c6c4dc75f5db868ac01a5403e2ee575abeda7bd
23,salam-the-odogwu,salam the odogwu,salam is a big time textile marketer always sourcing for quality materials,male,"hair: none, eyes: brown, teeth: none, clothings: wine and yellow, accessories: yayada cap, expression: happy, strength: influence, weakness: impatience ",f2957ded-022c-4b07-92c6-b345d4816a67,6940e4081bf193ac559f994246e01bbc644bab8093e8473ee37c127e4b6f1d00
24,charles-the-exporter,charles the exporter,charles a business man an importer and exporter never to be caught idle,male,"hair: none, eyes: grey, teeth: none, clothings: orange and blue, accessories: okpu ozo cap, expression: happy, strength: influential, weakness: incessant",09395e76-19ed-4852-8748-795ee7496a8e,1c48ca41a5c111e13bfb10765f5a83a2dd2cc741ed3fd76555d722b205159bc0
25,wole-the-pimp,wole the pimp,wole knows all the babes in town and is always pimping them out,male,"hair: none, eyes: black, teeth: two white teeth with diastema, clothings :yellow dashiki, accessories: yori yori, expression: happy, strength: strong, weakness: promiscuous",4d94d4f7-9b69-4e43-9db1-1fe83df92857,253321675c88dd5274998483ae1833dde5d2185bfc72d66b882f3beff8a75b0b
